Depth,URL,Title
1,https://efloraofindia.com/article-categories/loranthaceae/,Loranthaceae – eFlora of India
1,https://efloraofindia.com/article-categories/lythraceae/,Lythraceae – eFlora of India
1,https://efloraofindia.com/article-categories/magnoliaceae/,Magnoliaceae – eFlora of India
1,https://efloraofindia.com/article-categories/malpighiaceae/,Malpighiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/malvaceae/,Malvaceae – eFlora of India
1,https://efloraofindia.com/article-categories/marantaceae/,Marantaceae – eFlora of India
1,https://efloraofindia.com/article-categories/martyniaceae/,Martyniaceae – eFlora of India
1,https://efloraofindia.com/article-categories/melanthiaceae/,Melanthiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/melastomataceae/,Melastomataceae – eFlora of India
1,https://efloraofindia.com/article-categories/meliaceae/,Meliaceae – eFlora of India
1,https://efloraofindia.com/article-categories/melianthaceae/,Melianthaceae – eFlora of India
1,https://efloraofindia.com/article-categories/menispermaceae/,Menispermaceae – eFlora of India
1,https://efloraofindia.com/article-categories/menyanthaceae/,Menyanthaceae – eFlora of India
1,https://efloraofindia.com/article-categories/montiaceae/,Montiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/moraceae/,Moraceae – eFlora of India
1,https://efloraofindia.com/article-categories/moringaceae/,Moringaceae – eFlora of India
1,https://efloraofindia.com/article-categories/muntingiaceae/,Muntingiaceae – eFlora of India
1,https://efloraofindia.com/article-categories/musaceae/,Musaceae – eFlora of India
1,https://efloraofindia.com/article-categories/myricaceae/,Myricaceae – eFlora of India
1,https://efloraofindia.com/article-categories/myristicaceae/,Myristicaceae – eFlora of India
1,https://efloraofindia.com/article-categories/myrtaceae/,Myrtaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nartheciaceae/,Nartheciaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nelumbonaceae/,Nelumbonaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nepenthaceae/,Nepenthaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nyctaginaceae/,Nyctaginaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nymphaeaceae/,Nymphaeaceae – eFlora of India
1,https://efloraofindia.com/article-categories/nyssaceae/,Nyssaceae – eFlora of India
1,https://efloraofindia.com/article-categories/ochnaceae/,Ochnaceae – eFlora of India
1,https://efloraofindia.com/article-categories/olacaceae/,Olacaceae – eFlora of India
1,https://efloraofindia.com/article-categories/oleaceae/,Oleaceae – eFlora of India
1,https://efloraofindia.com/article-categories/onagraceae/,Onagraceae – eFlora of India
1,https://efloraofindia.com/article-categories/opiliaceae/,Opiliaceae – eFlora of India
